,Office Code,Office Name,Address Line 3,City,State,Zip,Phone,Fax,APIaddress,lat,lag
0,059,LANCASTER CA,42225 10TH ST W,LANCASTER,CA,93534,8669641725,8339502432,42225 10TH ST W LANCASTER CA 93534,34.649898,-118.1483828
1,060,MERCED CA,600 WEST OLIVE AVE,MERCED,CA,95348,8886327069,8339502434,600 WEST OLIVE AVE MERCED CA 95348,37.31889160000001,-120.479055
2,062,CHATSWORTH CA,20439 NORDHOFF ST,CHATSWORTH,CA,91311,8557273598,8339502438,20439 NORDHOFF ST CHATSWORTH CA 91311,34.2325398,-118.5790133
3,063,MONTEBELLO CA,2216 W BEVERLY BLVD,MONTEBELLO,CA,90640,8669647435,8339502440,2216 W BEVERLY BLVD MONTEBELLO CA 90640,34.0221953,-118.1231031
4,064,WATTS CA,12429 AVALON BLVD,LOS ANGELES,CA,90061,8778361558,8339502732,12429 AVALON BLVD LOS ANGELES CA 90061,33.9192368,-118.26559
5,066,HAYWARD CA,24301 SOUTHLAND DR,HAYWARD,CA,94545,8669645054,8339502734,24301 SOUTHLAND DR HAYWARD CA 94545,37.65316290000001,-122.1052271
6,070,PALM SPRINGS CA,4201 E RAMON RD,PALM SPRINGS,CA,92264,8778739105,8339502738,4201 E RAMON RD PALM SPRINGS CA 92264,33.8155192,-116.5013495
7,248,WALNUT CREEK CA,1111 CIVIC DR,WALNUT CREEK,CA,94596,8773196042,8339502746,1111 CIVIC DR WALNUT CREEK CA 94596,37.9058014,-122.0586245
8,249,ANAHEIM CA,900 S HARBOR BLVD,ANAHEIM,CA,92805,8666573133,8339502748,900 S HARBOR BLVD ANAHEIM CA 92805,33.8216433,-117.9149225
9,250,EL CAJON CA,846 ARNELE AVE,EL CAJON,CA,92020,8669640012,8339502750,846 ARNELE AVE EL CAJON CA 92020,32.8048643,-116.9723183
10,251,RIVERSIDE CA,10000 MAGNOLIA AVE,RIVERSIDE,CA,92503,8669314495,8339503037,10000 MAGNOLIA AVE RIVERSIDE CA 92503,33.9146632,-117.455547
11,253,UNIVERSITY VILLAGE CA,1122 W WASHINGTON BLVD,LOS ANGELES,CA,90015,8669647401,8339503041,1122 W WASHINGTON BLVD LOS ANGELES CA 90015,34.0381112,-118.2829648
12,384,EL MONTE CA,9351 TELSTAR AVE,EL MONTE,CA,91731,8669310340,8339503045,9351 TELSTAR AVE EL MONTE CA 91731,34.0691602,-118.0650538
13,385,SAN JOSE EAST CA,2500 FONTAINE RD,SAN JOSE,CA,95121,8669314496,8339503047,2500 FONTAINE RD SAN JOSE CA 95121,37.3174438,-121.8289492
14,436,CHULA VISTA CA,626 L ST,CHULA VISTA,CA,91911,8884879907,8339503055,626 L ST CHULA VISTA CA 91911,32.6162248,-117.0846946
15,476,ONTARIO CA,1100 E HOLT BLVD,ONTARIO,CA,91761,8663312216,8339503373,1100 E HOLT BLVD ONTARIO CA 91761,34.062927,-117.6314919
16,563,BKRSFLD EAST HILLS CA,2575 HALEY ST,BAKERSFIELD,CA,93305,8663669558,8339503383,2575 HALEY ST BAKERSFIELD CA 93305,35.3955986,-118.9756516
17,781,SF MISSION CA,1098 VALENCIA ST,SAN FRANCISCO,CA,94110,8667556323,8339503385,1098 VALENCIA ST SAN FRANCISCO CA 94110,37.7555551,-122.4212867
18,906,HEMET CA,3095 W DEVONSHIRE AVE,HEMET,CA,92545,8552077083,8339503391,3095 W DEVONSHIRE AVE HEMET CA 92545,33.7504049,-117.0048789
19,931,SAN MARCOS CA,367 VIA VERA CRUZ,SAN MARCOS,CA,92078,8666144769,8339503691,367 VIA VERA CRUZ SAN MARCOS CA 92078,33.1357512,-117.1877395
20,943,WEST COVINA CA,501 S VINCENT AVE,WEST COVINA,CA,91790,8669640162,8335712611,501 S VINCENT AVE WEST COVINA CA 91790,34.0664909,-117.928287
21,950,SF DOWNTOWN CA,90 7TH ST,SAN FRANCISCO,CA,94103,8669645051,8335712681,90 7TH ST SAN FRANCISCO CA 94103,37.77938520000001,-122.4119508
22,951,LOS ANGELES DOWNTOWN,888 S FIGUEROA ST,LOS ANGELES,CA,90017,8778036308,8335712683,888 S FIGUEROA ST LOS ANGELES CA 90017,34.0464904,-118.2618443
23,952,FRESNO CA,640 W LOCUST AVE,FRESNO,CA,93650,8669319041,8335800155,640 W LOCUST AVE FRESNO CA 93650,36.8405637,-119.8047724
24,953,OAKLAND DT CA,360 22ND ST,OAKLAND,CA,94612,8669647420,8339022616,360 22ND ST OAKLAND CA 94612,37.8110676,-122.2656169
25,954,SAN DIEGO CA,1333 FRONT ST,SAN DIEGO,CA,92101,8558200097,8339022618,1333 FRONT ST SAN DIEGO CA 92101,32.7195065,-117.1644452
26,955,SACRAMENTO CA,8581 FOLSOM BLVD,SACRAMENTO,CA,95826,8772745419,8339022620,8581 FOLSOM BLVD SACRAMENTO CA 95826,38.5496783,-121.3871386
27,956,EUREKA CA,3144 BRDWAY,EUREKA,CA,95501,8668281991,8339022622,3144 BRDWAY EUREKA CA 95501,40.7805362,-124.1865477
28,957,PASADENA CA,104 N MENTOR AVE,PASADENA,CA,91106,8772551508,8339022624,104 N MENTOR AVE PASADENA CA 91106,34.1477031,-118.1306519
29,958,LONG BEACH CA,2005 LONG BEACH BLVD,LONG BEACH,CA,90806,8882562631,8339022626,2005 LONG BEACH BLVD LONG BEACH CA 90806,33.7939456,-118.1899285
30,959,SAN BERNARDINO CA,605 N ARROWHEAD AVE,SAN BERNARDINO,CA,92401,8663317132,8339022628,605 N ARROWHEAD AVE SAN BERNARDINO CA 92401,34.1107063,-117.2888515
31,960,SAN JOSE CA,280 S FIRST ST,SAN JOSE,CA,95113,8663312235,8339022630,280 S FIRST ST SAN JOSE CA 95113,37.33220379999999,-121.8869098
32,961,SANTA BARBARA CA,122 W FIGUEROA ST,SANTA BARBARA,CA,93101,8666956285,8339022632,122 W FIGUEROA ST SANTA BARBARA CA 93101,34.4208458,-119.7052136
33,962,STOCKTON CA,4747 FEATHER RIVER DR,STOCKTON,CA,95219,8778036314,8339022634,4747 FEATHER RIVER DR STOCKTON CA 95219,37.9850438,-121.3480214
34,963,BAKERSFIELD CA,5300 OFFICE PARK DR,BAKERSFIELD,CA,93309,8664761489,8339402147,5300 OFFICE PARK DR BAKERSFIELD CA 93309,35.3662387,-119.0611103
35,964,SANTA ROSA CA,2099 RANGE AVE,SANTA ROSA,CA,95401,8778706384,8339402149,2099 RANGE AVE SANTA ROSA CA 95401,38.4572584,-122.7332245
36,965,GLENDALE CA,225 W BRDWAY,GLENDALE,CA,91204,8558869633,8339402151,225 W BRDWAY GLENDALE CA 91204,34.147006,-118.2567737
37,966,HUNTINGTON PARK CA,6303 RUGBY AVE,HUNTINGTON PARK,CA,90255,8669319941,8339402153,6303 RUGBY AVE HUNTINGTON PARK CA 90255,33.9829769,-118.2269867
38,967,SAN MATEO CA,800 SOUTH CLAREMONT ST,SAN MATEO,CA,94402,8667268193,8339502108,800 SOUTH CLAREMONT ST SAN MATEO CA 94402,37.5632852,-122.3179352
39,968,HOLLYWOOD CA,1122 N VINE ST,HOLLYWOOD,CA,90038,8666132861,8339502110,1122 N VINE ST HOLLYWOOD CA 90038,34.0914251,-118.3261972
40,969,REDDING CA,2660 PARK MARINA DR,REDDING,CA,96001,8669641236,8339502112,2660 PARK MARINA DR REDDING CA 96001,40.5754836,-122.372779
41,970,L.A. WESTWOOD CA,11500 W OLYMPIC BLVD,LOS ANGELES,CA,90064,8669644779,8339502114,11500 W OLYMPIC BLVD LOS ANGELES CA 90064,34.0357522,-118.4441018
42,971,INGLEWOOD CA,230 EAST SPRUCE AVE,INGLEWOOD,CA,90301,8663317694,8339502116,230 EAST SPRUCE AVE INGLEWOOD CA 90301,33.957491,-118.351044
43,972,SANTA ANA CA,1851 EAST FIRST ST,SANTA ANA,CA,92705,8883666146,8339502118,1851 EAST FIRST ST SANTA ANA CA 92705,33.7460046,-117.841583
44,974,VENTURA CA,6477 TELEPHONE RD,VENTURA,CA,93003,8776517118,8339502444,6477 TELEPHONE RD VENTURA CA 93003,34.267265,-119.205572
45,975,PANORAMA CITY CA,14500 ROSCOE BLVD,PANORAMA CITY,CA,91402,8663410785,8339502446,14500 ROSCOE BLVD PANORAMA CITY CA 91402,34.2212146,-118.4490299
46,976,BERKELEY CA,2045 ALLSTON WAY,BERKELEY,CA,94704,8775314696,8339502448,2045 ALLSTON WAY BERKELEY CA 94704,37.8696173,-122.2691992
47,978,MODESTO CA,1521 N CARPENTER RD,MODESTO,CA,95351,8887487698,8339502450,1521 N CARPENTER RD MODESTO CA 95351,37.6583056,-121.0315839
48,979,CHICO CA,1370 E LASSEN AVE,CHICO,CA,95973,8669647585,8339502452,1370 E LASSEN AVE CHICO CA 95973,39.7736128,-121.8407043
49,980,VISALIA CA,1901 E NOBLE AVE,VISALIA,CA,93292,8663448475,8339502454,1901 E NOBLE AVE VISALIA CA 93292,36.325842,-119.2717573
50,981,POMONA VALLEY CA,2130 N GAREY AVE,POMONA,CA,91767,8888085486,8339502456,2130 N GAREY AVE POMONA CA 91767,34.0861168,-117.750526
51,982,WHITTIER CA,7200 GREENLEAF,WHITTIER,CA,90602,8663362187,8339502458,7200 GREENLEAF WHITTIER CA 90602,33.9768529,-118.0370427
52,983,TORRANCE CA,20000 MARINER AVE 150,TORRANCE,CA,90503,8773190732,8339502460,20000 MARINER AVE 150 TORRANCE CA 90503,33.8509674,-118.3488436
53,984,SALINAS CA,928 EAST BLANCO RD,SALINAS,CA,93901,8776002857,8339502752,928 EAST BLANCO RD SALINAS CA 93901,36.6535136,-121.636599
54,985,EL CENTRO CA,3007 N IMPERIAL AVE,EL CENTRO,CA,92243,8665935680,8339502754,3007 N IMPERIAL AVE EL CENTRO CA 92243,32.8150458,-115.5695206
55,987,OCEANSIDE CA,2160 S EL CAMINO REAL,OCEANSIDE,CA,92054,8552874793,8339502758,2160 S EL CAMINO REAL OCEANSIDE CA 92054,33.1880631,-117.327303
56,A80,BURBANK CA,1420 W OLIVE AVE,BURBANK,CA,91506,8887487699,8339503369,1420 W OLIVE AVE BURBANK CA 91506,34.168864,-118.3208986
57,A87,VICTORVILLE CA,13955 PARK AVE,VICTORVILLE,CA,92392,8774051435,8339503655,13955 PARK AVE VICTORVILLE CA 92392,34.5041622,-117.3246785
58,B58,MISSION VIEJO CA,26051 ACERO RD,MISSION VIEJO,CA,92691,8883069878,8339503661,26051 ACERO RD MISSION VIEJO CA 92691,33.618716,-117.6766224
59,B59,LAKEWOOD CA,4957 PARAMOUNT BLVD,LAKEWOOD,CA,90712,8669646484,8339503663,4957 PARAMOUNT BLVD LAKEWOOD CA 90712,33.8487835,-118.1604042
60,B60,FREMONT CA,3100 MOWRY AVE,FREMONT,CA,94538,8886327073,8339503665,3100 MOWRY AVE FREMONT CA 94538,37.5540679,-121.9833457
61,B67,OXNARD CA,2000 OUTLET CENTER DR,OXNARD,CA,93036,8669318352,8335193215,2000 OUTLET CENTER DR OXNARD CA 93036,34.2211085,-119.146651
