,X,Y,OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,LATITUDE,LONGITUDE,LAT,LGT
0,-118.24986685,33.972728003,31866,90001,LOS ANGELES,CA,33.972728003,-118.24986685,33.972728003,-118.24986685
1,-118.24736441,33.949201626,31867,90002,LOS ANGELES,CA,33.949201626,-118.24736441,33.949201626,-118.24736441
2,-118.27334208,33.9645056910001,31868,90003,LOS ANGELES,CA,33.964505691,-118.27334208,33.964505691,-118.27334208
3,-118.30402836,34.075757357,31869,90004,LOS ANGELES,CA,34.075757357,-118.30402836,34.075757357,-118.30402836
4,-118.30129988,34.0591965410001,31870,90005,LOS ANGELES,CA,34.059196541,-118.30129988,34.059196541,-118.30129988
5,-118.29324257,34.0498872090001,31871,90006,LOS ANGELES,CA,34.049887209,-118.29324257,34.049887209,-118.29324257
6,-118.28810743,34.0289959780001,31872,90007,LOS ANGELES,CA,34.028995978,-118.28810743,34.028995978,-118.28810743
7,-118.3407938,34.011191878,31873,90008,LOS ANGELES,CA,34.011191878,-118.3407938,34.011191878,-118.3407938
8,-118.40632046,33.9384922040001,31874,90009,LOS ANGELES,CA,33.938492204,-118.40632046,33.938492204,-118.40632046
9,-118.30066775,34.061591691,31875,90010,LOS ANGELES,CA,34.061591691,-118.30066775,34.061591691,-118.30066775
10,-118.25874886,34.007284874,31876,90011,LOS ANGELES,CA,34.007284874,-118.25874886,34.007284874,-118.25874886
11,-118.24389,34.0590034210001,31877,90012,LOS ANGELES,CA,34.059003421,-118.24389,34.059003421,-118.24389
12,-118.24548305,34.046829341,31878,90013,LOS ANGELES,CA,34.046829341,-118.24548305,34.046829341,-118.24548305
13,-118.25247042,34.0442591950001,31879,90014,LOS ANGELES,CA,34.044259195,-118.25247042,34.044259195,-118.25247042
14,-118.26604508,34.0417987370001,31880,90015,LOS ANGELES,CA,34.041798737,-118.26604508,34.041798737,-118.26604508
15,-118.35363549,34.029454356,31881,90016,LOS ANGELES,CA,34.029454356,-118.35363549,34.029454356,-118.35363549
16,-118.26443488,34.0525494280001,31882,90017,LOS ANGELES,CA,34.052549428,-118.26443488,34.052549428,-118.26443488
17,-118.31556803,34.0288215370001,31883,90018,LOS ANGELES,CA,34.028821537,-118.31556803,34.028821537,-118.31556803
18,-118.33699143,34.04796609,31884,90019,LOS ANGELES,CA,34.04796609,-118.33699143,34.04796609,-118.33699143
19,-118.30170262,34.0665256980001,31885,90020,LOS ANGELES,CA,34.066525698,-118.30170262,34.066525698,-118.30170262
20,-118.23791213,34.0345950670001,31886,90021,LOS ANGELES,CA,34.034595067,-118.23791213,34.034595067,-118.23791213
21,-118.15507245,34.023603248,31887,90022,LOS ANGELES,CA,34.023603248,-118.15507245,34.023603248,-118.15507245
22,-118.19930973,34.0250201330001,31888,90023,LOS ANGELES,CA,34.025020133,-118.19930973,34.025020133,-118.19930973
23,-118.44037287,34.061832607,31889,90024,LOS ANGELES,CA,34.061832607,-118.44037287,34.061832607,-118.44037287
24,-118.44985784,34.0451583490001,31890,90025,LOS ANGELES,CA,34.045158349,-118.44985784,34.045158349,-118.44985784
25,-118.26526554,34.0771510860001,31891,90026,LOS ANGELES,CA,34.077151086,-118.26526554,34.077151086,-118.26526554
26,-118.29236502,34.104909736,31892,90027,LOS ANGELES,CA,34.104909736,-118.29236502,34.104909736,-118.29236502
